store_name,rider_name,store_delivery,rider_store,packaging_time,rating,output
The Grocery Outlet,Pauliene,6.676,1.804,4.5,5,3
Superstore Save-On-Foods,Pauliene,6.675,2.596,6.9,2,2
Bloor Street,Sambhavi,6.671,4.0,2.8,2,1
Market Real,Pauliene,6.67,3.699,1.7,3,5
Sunrise Mart,Sambhavi,6.658,3.551,4.9,2,1
Superstore Save-On-Foods,Sambhavi,6.654,1.375,5.2,4,3
The Grocery Outlet,Karthikey,6.653,2.618,6.7,4,1
Clover Grocery,Ananya,6.641,3.061,4.4,4,4
Market Real,Rakesh,6.64,1.273,2.9,5,4
Market Real,Vedant,6.636,1.042,5.4,1,2
The Grocery Outlet,Rakesh,6.624,3.147,4.8,2,5
Bromley Food Store,Yamraj,6.614,3.79,4.3,5,4
Market Real,Janvi,6.613,3.768,6.6,3,5
Pepper’s Grocery,Vedant,6.596,3.194,6.2,3,2
Sunrise Mart,Pauliene,6.595,1.115,6.0,4,5
Pepper’s Grocery,Sambhavi,6.583,1.754,6.2,1,3
Sunrise Mart,Rakesh,6.571,3.462,2.9,3,5
Pepper’s Grocery,Sambhavi,6.565,1.418,6.5,2,2
Sunrise Mart,Vedant,6.559,3.949,3.2,3,2
Sunrise Mart,Rahul,6.555,1.528,5.8,2,4
Bromley Food Store,Yamraj,6.537,2.8,5.1,1,5
Bromley Food Store,Vedant,6.53,3.23,5.9,1,1
The Grocery Outlet,Rahul,6.528,1.665,2.9,5,3
Superstore Save-On-Foods,Anushka,6.516,2.687,3.2,2,4
The Grocery Outlet,Janvi,6.509,1.687,5.8,5,4
Market Real,Rakesh,6.487,2.941,2.8,1,4
Clover Grocery,Sambhavi,6.484,2.987,1.3,3,4
Bloor Street,Yamraj,6.476,3.056,2.6,5,5
Market Real,Rahul,6.462,2.59,1.6,3,4
Sunrise Mart,Dipak,6.45,1.137,1.4,3,4
Clover Grocery,Rakesh,6.449,3.05,1.8,5,4
Superstore Save-On-Foods,Karthikey,6.441,1.347,1.8,4,1
Sunrise Mart,Rakesh,6.44,1.024,1.4,1,1
Bloor Street,Pauliene,6.433,2.321,6.1,3,2
The Grocery Outlet,Janvi,6.431,3.768,6.2,1,1
Market Real,Janvi,6.424,2.088,5.2,3,4
The Grocery Outlet,Dipak,6.423,3.859,6.2,3,2
Clover Grocery,Rakesh,6.412,3.865,5.0,3,2
Clover Grocery,Pauliene,6.405,1.695,5.5,5,4
Bloor Street,Ananya,6.404,2.396,1.7,2,4
The Grocery Outlet,Yamraj,6.376,1.509,2.9,2,1
The Grocery Outlet,Yamraj,6.375,1.743,2.0,3,2
Clover Grocery,Karthikey,6.373,2.516,6.9,2,2
Clover Grocery,Yamraj,6.37,2.946,2.6,5,3
Market Real,Rakesh,6.369,2.586,1.5,3,4
Pepper’s Grocery,Rakesh,6.364,3.361,5.0,3,4
The Grocery Outlet,Sambhavi,6.361,3.466,6.6,1,3
Bloor Street,Yamraj,6.358,3.789,3.0,5,4
Clover Grocery,Karthikey,6.357,2.164,2.7,4,1
The Grocery Outlet,Karthikey,6.354,1.152,5.5,5,1
Clover Grocery,Janvi,6.351,1.454,4.4,5,2
Market Real,Sambhavi,6.351,1.422,3.5,2,2
Superstore Save-On-Foods,Dipak,6.35,1.502,2.1,4,5
Bromley Food Store,Karthikey,6.346,2.124,3.0,4,2
Sunrise Mart,Rahul,6.346,3.395,3.5,2,4
Pepper’s Grocery,Rakesh,6.343,2.673,4.4,1,2
Pepper’s Grocery,Yamraj,6.332,2.964,3.5,1,3
Bloor Street,Yamraj,6.33,1.071,4.1,2,5
Superstore Save-On-Foods,Rahul,6.325,1.2,6.7,4,5
Market Real,Rakesh,6.315,2.15,1.2,2,5
Sunrise Mart,Sambhavi,6.314,3.295,1.4,5,1
Market Real,Dipak,6.312,3.305,5.3,2,1
The Grocery Outlet,Rakesh,6.312,2.821,2.7,3,4
Bromley Food Store,Sambhavi,6.309,3.502,6.8,1,1
Sunrise Mart,Rahul,6.302,3.758,2.7,1,1
Bromley Food Store,Vedant,6.299,2.016,4.5,4,5
Bromley Food Store,Rahul,6.286,3.739,1.8,2,1
Bromley Food Store,Dipak,6.286,1.962,3.7,3,2
Superstore Save-On-Foods,Karthikey,6.283,1.108,3.9,1,3
Market Real,Rahul,6.27,1.222,3.9,1,4
Bloor Street,Anushka,6.269,2.747,2.4,3,5
The Grocery Outlet,Anushka,6.265,2.309,2.2,4,3
Clover Grocery,Anushka,6.265,2.526,6.3,5,3
The Grocery Outlet,Ananya,6.264,3.254,5.1,2,3
The Grocery Outlet,Rakesh,6.261,1.28,3.5,5,4
Pepper’s Grocery,Ananya,6.254,1.36,1.7,2,1
Bromley Food Store,Dipak,6.235,2.736,1.4,3,2
Superstore Save-On-Foods,Karthikey,6.235,2.898,6.8,2,4
The Grocery Outlet,Anushka,6.224,2.489,4.6,3,5
Pepper’s Grocery,Dipak,6.223,3.465,4.8,4,2
Superstore Save-On-Foods,Anushka,6.211,1.634,1.3,1,4
Sunrise Mart,Karthikey,6.195,1.755,6.6,2,3
Sunrise Mart,Anushka,6.181,1.44,1.7,5,2
Sunrise Mart,Vedant,6.173,1.789,6.6,2,2
Bromley Food Store,Janvi,6.173,2.584,2.8,5,1
The Grocery Outlet,Vedant,6.168,1.033,2.4,5,4
Clover Grocery,Ananya,6.164,1.969,1.4,4,5
Superstore Save-On-Foods,Vedant,6.158,2.348,4.1,5,5
Bloor Street,Sambhavi,6.152,3.524,3.9,1,4
Sunrise Mart,Pauliene,6.147,3.352,4.8,1,2
Sunrise Mart,Sambhavi,6.132,1.459,4.5,2,4
Superstore Save-On-Foods,Dipak,6.129,3.479,2.6,4,5
Market Real,Rakesh,6.122,3.159,3.5,3,4
Superstore Save-On-Foods,Rakesh,6.119,1.518,2.7,5,4
Bromley Food Store,Janvi,6.119,2.069,2.5,4,3
The Grocery Outlet,Karthikey,6.111,1.264,4.0,3,1
Bloor Street,Vedant,6.111,2.389,6.8,5,2
Bromley Food Store,Ananya,6.11,2.78,1.7,1,2
Pepper’s Grocery,Anushka,6.102,3.391,4.6,1,3
Bromley Food Store,Karthikey,6.089,1.735,4.2,4,2
Bloor Street,Rahul,6.087,1.527,6.2,2,4
Clover Grocery,Rahul,6.086,1.223,4.6,5,4
The Grocery Outlet,Anushka,6.061,1.6,4.5,2,3
The Grocery Outlet,Vedant,6.06,1.002,2.4,2,3
Sunrise Mart,Rakesh,6.06,3.512,6.0,1,2
Sunrise Mart,Karthikey,6.059,2.935,1.2,5,2
The Grocery Outlet,Vedant,6.048,3.69,3.7,3,3
Market Real,Karthikey,6.044,2.572,5.4,5,1
Pepper’s Grocery,Rakesh,6.039,3.37,6.2,4,3
Pepper’s Grocery,Rakesh,6.036,2.622,1.1,5,4
Market Real,Ananya,6.024,1.316,3.4,4,3
Bromley Food Store,Karthikey,6.009,2.56,6.4,3,1
The Grocery Outlet,Vedant,6.008,2.992,1.7,3,5
Bloor Street,Rahul,6.002,2.922,6.1,1,1
Market Real,Anushka,5.989,1.328,5.8,2,5
Bloor Street,Pauliene,5.988,1.182,4.8,5,2
Bloor Street,Rakesh,5.985,2.224,3.5,2,4
Clover Grocery,Anushka,5.982,3.573,1.6,5,5
Market Real,Rahul,5.981,3.122,5.9,1,3
Bromley Food Store,Rakesh,5.965,1.015,1.4,2,5
Superstore Save-On-Foods,Dipak,5.962,2.121,6.7,4,3
Superstore Save-On-Foods,Vedant,5.948,2.713,6.4,2,4
Clover Grocery,Pauliene,5.939,2.67,2.2,2,1
Pepper’s Grocery,Rahul,5.925,3.801,5.4,1,4
The Grocery Outlet,Vedant,5.912,2.044,1.9,5,5
Superstore Save-On-Foods,Rakesh,5.909,1.173,2.9,4,3
Bromley Food Store,Dipak,5.9,3.008,3.4,2,4
Sunrise Mart,Sambhavi,5.897,1.501,1.2,3,1
Clover Grocery,Yamraj,5.89,2.698,5.6,5,3
Bromley Food Store,Sambhavi,5.89,2.237,3.7,3,3
Bloor Street,Rahul,5.886,1.098,5.7,1,5
Market Real,Ananya,5.885,1.584,5.0,2,2
Sunrise Mart,Rakesh,5.883,3.66,4.9,4,4
Pepper’s Grocery,Janvi,5.872,2.475,2.5,2,5
Sunrise Mart,Rahul,5.868,1.263,6.7,1,3
Bromley Food Store,Rakesh,5.861,3.231,6.3,1,5
The Grocery Outlet,Pauliene,5.858,2.341,6.4,1,3
Sunrise Mart,Ananya,5.857,2.857,5.2,2,1
Pepper’s Grocery,Yamraj,5.849,2.465,4.2,5,4
Bromley Food Store,Pauliene,5.848,3.783,5.8,2,3
Sunrise Mart,Ananya,5.844,1.634,3.1,4,3
Superstore Save-On-Foods,Dipak,5.827,1.649,5.4,4,3
Sunrise Mart,Janvi,5.819,2.345,4.4,2,5
Market Real,Karthikey,5.818,2.988,2.0,1,2
Bromley Food Store,Rakesh,5.808,3.447,2.6,1,4
Market Real,Ananya,5.807,2.21,5.7,5,1
Pepper’s Grocery,Ananya,5.803,1.861,2.5,4,2
The Grocery Outlet,Yamraj,5.796,3.923,2.6,3,4
Clover Grocery,Anushka,5.764,3.038,4.8,5,4
Market Real,Sambhavi,5.744,1.373,5.9,1,1
Sunrise Mart,Vedant,5.743,1.922,5.6,2,5
Bromley Food Store,Anushka,5.743,1.958,4.2,2,5
Superstore Save-On-Foods,Vedant,5.743,3.238,2.9,3,4
Superstore Save-On-Foods,Rahul,5.739,1.18,3.1,2,5
Clover Grocery,Vedant,5.722,1.236,2.8,1,5
Pepper’s Grocery,Janvi,5.717,2.805,4.7,5,4
Market Real,Karthikey,5.712,3.093,3.6,5,1
Bloor Street,Rahul,5.706,3.134,5.6,3,1
Market Real,Janvi,5.702,2.041,6.4,2,3
Superstore Save-On-Foods,Rahul,5.699,2.87,4.2,5,3
The Grocery Outlet,Sambhavi,5.697,3.832,4.2,2,5
Pepper’s Grocery,Anushka,5.692,2.385,2.4,2,3
Bromley Food Store,Pauliene,5.692,3.157,2.0,1,2
Superstore Save-On-Foods,Anushka,5.677,3.707,5.8,1,2
Bromley Food Store,Vedant,5.672,3.842,5.6,3,4
Clover Grocery,Anushka,5.662,3.115,3.6,5,3
Bromley Food Store,Dipak,5.66,3.84,5.5,3,3
The Grocery Outlet,Karthikey,5.652,1.312,4.2,2,5
Bloor Street,Dipak,5.645,2.224,6.1,2,3
Clover Grocery,Ananya,5.642,1.623,5.1,4,1
Bloor Street,Ananya,5.642,3.268,5.5,4,2
The Grocery Outlet,Sambhavi,5.632,2.372,6.2,2,1
Sunrise Mart,Dipak,5.623,1.167,5.1,5,5
Sunrise Mart,Yamraj,5.623,1.985,3.9,2,2
Pepper’s Grocery,Dipak,5.613,3.038,3.6,4,5
Market Real,Karthikey,5.606,1.308,1.7,1,5
Superstore Save-On-Foods,Pauliene,5.597,3.826,6.5,3,4
Pepper’s Grocery,Janvi,5.595,3.244,2.9,3,1
Bromley Food Store,Janvi,5.591,1.345,6.3,3,4
Superstore Save-On-Foods,Janvi,5.591,3.181,3.5,4,2
Superstore Save-On-Foods,Janvi,5.588,1.542,7.0,4,5
Sunrise Mart,Rakesh,5.584,3.191,2.5,1,3
Sunrise Mart,Rakesh,5.576,2.292,1.2,4,1
Sunrise Mart,Yamraj,5.571,1.408,1.9,5,4
Pepper’s Grocery,Yamraj,5.57,2.002,4.9,4,3
Market Real,Pauliene,5.569,3.567,5.2,5,4
Superstore Save-On-Foods,Rakesh,5.568,2.244,1.4,1,1
Pepper’s Grocery,Ananya,5.562,2.143,6.1,4,1
Clover Grocery,Karthikey,5.557,3.025,2.6,4,5
The Grocery Outlet,Ananya,5.553,1.491,1.7,1,2
The Grocery Outlet,Dipak,5.551,3.241,3.2,1,2
Pepper’s Grocery,Yamraj,5.538,2.815,1.9,4,5
Pepper’s Grocery,Dipak,5.529,3.286,5.0,4,1
Sunrise Mart,Ananya,5.528,1.633,6.3,4,5
Clover Grocery,Ananya,5.528,1.132,6.8,3,1
Pepper’s Grocery,Vedant,5.525,2.62,1.5,3,3
Bloor Street,Vedant,5.519,2.457,1.5,1,2
Sunrise Mart,Karthikey,5.515,1.696,5.1,2,3
Market Real,Ananya,5.513,2.054,5.9,3,5
Clover Grocery,Rakesh,5.512,3.316,2.7,2,4
Bloor Street,Rakesh,5.499,2.249,4.4,5,2
Bloor Street,Anushka,5.498,2.019,5.8,5,4
Superstore Save-On-Foods,Pauliene,5.494,2.147,1.6,3,3
Bromley Food Store,Yamraj,5.479,1.645,6.4,1,1
Market Real,Dipak,5.478,1.175,3.5,3,4
Superstore Save-On-Foods,Yamraj,5.477,2.23,3.0,2,4
Market Real,Rakesh,5.477,1.657,6.9,3,5
Sunrise Mart,Janvi,5.471,2.772,6.0,1,3
Clover Grocery,Anushka,5.47,2.176,4.1,1,2
Bloor Street,Anushka,5.462,1.279,4.6,3,4
The Grocery Outlet,Janvi,5.456,1.621,5.4,1,4
Pepper’s Grocery,Rahul,5.455,1.355,6.8,1,1
Market Real,Ananya,5.449,3.776,5.0,2,3
Pepper’s Grocery,Rakesh,5.447,1.699,1.9,5,5
Bromley Food Store,Ananya,5.44,3.851,2.5,2,1
Superstore Save-On-Foods,Janvi,5.438,1.915,1.8,3,5
Sunrise Mart,Sambhavi,5.434,3.872,1.4,1,1
Clover Grocery,Dipak,5.424,1.405,2.2,3,2
Market Real,Vedant,5.421,3.848,1.4,5,1
The Grocery Outlet,Sambhavi,5.421,3.017,4.5,4,3
Bromley Food Store,Rahul,5.419,3.954,4.3,1,3
Bromley Food Store,Sambhavi,5.417,3.882,6.3,5,5
Superstore Save-On-Foods,Karthikey,5.41,1.516,3.1,5,2
Clover Grocery,Sambhavi,5.393,2.253,6.8,5,3
Bloor Street,Pauliene,5.391,2.355,2.8,5,1
Market Real,Yamraj,5.381,2.338,4.5,5,4
Superstore Save-On-Foods,Karthikey,5.378,1.092,6.6,2,4
Superstore Save-On-Foods,Anushka,5.373,3.917,5.8,4,4
Sunrise Mart,Vedant,5.373,3.46,3.0,1,4
Market Real,Anushka,5.371,1.234,1.1,5,1
Bromley Food Store,Janvi,5.365,3.458,3.2,4,5
Market Real,Karthikey,5.356,1.42,2.4,4,2
Superstore Save-On-Foods,Vedant,5.351,3.589,3.5,2,2
Pepper’s Grocery,Anushka,5.329,2.146,5.5,1,2
Clover Grocery,Sambhavi,5.326,3.898,5.0,2,5
Superstore Save-On-Foods,Karthikey,5.323,2.579,4.3,2,4
Bloor Street,Ananya,5.323,2.229,4.4,2,5
Pepper’s Grocery,Pauliene,5.314,2.187,6.8,4,4
Clover Grocery,Sambhavi,5.308,2.989,4.8,3,5
Superstore Save-On-Foods,Rakesh,5.306,2.768,1.2,2,1
Bromley Food Store,Sambhavi,5.288,1.809,5.9,4,3
Sunrise Mart,Pauliene,5.285,3.234,4.0,1,4
Sunrise Mart,Rakesh,5.257,3.019,6.3,4,5
Market Real,Rakesh,5.255,2.508,6.2,2,5
Sunrise Mart,Dipak,5.236,1.389,1.7,5,5
Sunrise Mart,Rakesh,5.235,2.297,4.1,5,2
Sunrise Mart,Rakesh,5.232,2.024,4.6,2,1
Market Real,Janvi,5.225,2.198,2.4,2,3
Market Real,Sambhavi,5.222,1.932,2.9,3,1
Clover Grocery,Sambhavi,5.209,2.622,3.9,4,4
Clover Grocery,Vedant,5.203,3.578,1.4,2,4
Superstore Save-On-Foods,Janvi,5.2,1.015,4.2,3,5
Superstore Save-On-Foods,Pauliene,5.192,1.8,2.7,2,3
Bromley Food Store,Anushka,5.186,2.367,1.5,5,4
Superstore Save-On-Foods,Ananya,5.185,1.785,1.6,1,4
Bloor Street,Dipak,5.177,2.734,6.1,3,1
Clover Grocery,Sambhavi,5.173,1.013,4.0,2,5
Market Real,Janvi,5.169,2.74,4.8,5,2
Market Real,Pauliene,5.166,3.285,4.8,2,4
Superstore Save-On-Foods,Dipak,5.165,2.927,1.5,2,2
Bromley Food Store,Anushka,5.162,1.613,6.5,4,1
Bromley Food Store,Yamraj,5.161,3.041,4.2,2,3
Bloor Street,Anushka,5.152,2.102,4.1,1,4
Market Real,Yamraj,5.143,1.654,6.7,1,1
Sunrise Mart,Rahul,5.141,2.568,6.9,5,1
Bromley Food Store,Rahul,5.125,3.148,6.7,5,3
Sunrise Mart,Karthikey,5.112,1.703,6.1,1,4
Sunrise Mart,Dipak,5.111,3.912,6.5,3,2
Market Real,Vedant,5.108,1.467,6.2,4,5
Bromley Food Store,Rahul,5.108,2.554,4.1,4,1
Sunrise Mart,Yamraj,5.104,1.066,3.1,5,3
Clover Grocery,Rakesh,5.09,3.097,6.8,3,3
Superstore Save-On-Foods,Vedant,5.089,2.543,7.0,4,5
Bromley Food Store,Dipak,5.088,1.621,1.3,2,1
Sunrise Mart,Vedant,5.072,1.156,3.7,4,4
Superstore Save-On-Foods,Sambhavi,5.047,1.383,5.2,2,4
Clover Grocery,Anushka,5.043,3.255,1.6,2,4
The Grocery Outlet,Anushka,5.038,2.174,2.3,3,5
The Grocery Outlet,Ananya,5.03,2.868,5.8,5,1
Sunrise Mart,Ananya,5.023,3.212,3.1,2,3
Superstore Save-On-Foods,Rakesh,4.98,1.042,1.2,1,2
Bromley Food Store,Vedant,4.971,3.354,2.6,1,3
Bromley Food Store,Karthikey,4.964,2.725,2.8,2,3
Pepper’s Grocery,Rahul,4.963,1.998,1.4,1,5
Bromley Food Store,Karthikey,4.958,2.797,4.8,1,2
Pepper’s Grocery,Dipak,4.958,3.723,2.6,4,4
Bromley Food Store,Ananya,4.956,3.824,2.4,1,4
Bromley Food Store,Yamraj,4.953,2.451,3.9,3,2
Bloor Street,Yamraj,4.949,1.611,5.1,2,1
The Grocery Outlet,Rakesh,4.932,1.077,1.8,2,2
Pepper’s Grocery,Anushka,4.922,1.28,4.2,5,5
Bromley Food Store,Pauliene,4.922,1.042,6.9,2,2
The Grocery Outlet,Yamraj,4.893,1.233,1.4,4,5
Clover Grocery,Ananya,4.884,1.546,1.1,1,1
Pepper’s Grocery,Vedant,4.875,1.908,3.6,2,2
Superstore Save-On-Foods,Rakesh,4.873,2.025,2.6,2,4
Clover Grocery,Anushka,4.86,1.007,6.6,4,4
Bloor Street,Anushka,4.858,1.623,2.9,5,2
Clover Grocery,Rahul,4.852,2.235,4.9,5,5
Pepper’s Grocery,Pauliene,4.852,1.398,1.9,3,1
The Grocery Outlet,Yamraj,4.85,2.858,3.3,3,4
Bromley Food Store,Janvi,4.831,3.469,6.2,3,4
Sunrise Mart,Sambhavi,4.814,1.393,2.7,4,3
Superstore Save-On-Foods,Rahul,4.813,3.326,5.8,4,4
Pepper’s Grocery,Sambhavi,4.813,2.022,1.4,5,3
Bromley Food Store,Yamraj,4.81,1.812,5.6,3,1
Sunrise Mart,Janvi,4.807,1.809,3.0,1,5
Clover Grocery,Sambhavi,4.79,2.487,4.3,4,3
Superstore Save-On-Foods,Karthikey,4.785,3.718,3.4,3,4
Bloor Street,Anushka,4.782,3.54,3.1,2,5
Clover Grocery,Pauliene,4.781,3.27,1.3,4,5
Clover Grocery,Ananya,4.78,2.559,2.0,3,4
The Grocery Outlet,Yamraj,4.772,1.303,2.1,1,3
Superstore Save-On-Foods,Sambhavi,4.754,3.13,3.0,3,2
Sunrise Mart,Pauliene,4.749,3.864,5.7,4,2
The Grocery Outlet,Dipak,4.729,2.316,5.7,5,2
Clover Grocery,Pauliene,4.71,3.218,5.1,4,5
The Grocery Outlet,Anushka,4.709,1.172,4.1,3,4
Market Real,Dipak,4.708,3.861,6.4,3,1
Sunrise Mart,Sambhavi,4.7,1.417,5.5,2,1
The Grocery Outlet,Vedant,4.69,1.238,3.4,4,2
Bromley Food Store,Rahul,4.682,3.275,5.6,3,1
Bromley Food Store,Ananya,4.677,1.392,3.7,4,4
The Grocery Outlet,Janvi,4.665,3.367,1.7,1,2
Market Real,Rakesh,4.658,2.642,2.4,3,5
Superstore Save-On-Foods,Yamraj,4.656,1.652,5.1,2,1
Superstore Save-On-Foods,Janvi,4.65,3.653,2.2,3,5
Market Real,Ananya,4.63,2.939,5.1,3,4
Bromley Food Store,Vedant,4.628,1.813,4.0,5,4
The Grocery Outlet,Karthikey,4.61,3.249,6.2,1,4
Sunrise Mart,Anushka,4.61,2.548,2.8,4,4
Bromley Food Store,Vedant,4.607,3.152,3.3,3,3
Market Real,Yamraj,4.603,2.462,4.6,5,1
Superstore Save-On-Foods,Anushka,4.593,1.41,1.3,1,3
Pepper’s Grocery,Rakesh,4.592,1.445,1.3,2,3
Superstore Save-On-Foods,Pauliene,4.588,2.186,2.7,5,3
Bromley Food Store,Pauliene,4.576,3.512,5.0,1,3
Clover Grocery,Pauliene,4.566,3.762,1.8,3,2
Pepper’s Grocery,Anushka,4.563,3.368,7.0,5,4
Pepper’s Grocery,Vedant,4.558,2.048,1.8,3,2
Superstore Save-On-Foods,Pauliene,4.557,2.211,6.1,1,5
Pepper’s Grocery,Rahul,4.551,2.877,1.7,5,5
Sunrise Mart,Vedant,4.548,3.321,3.1,2,5
Sunrise Mart,Vedant,4.529,1.115,6.2,5,2
Sunrise Mart,Yamraj,4.526,3.664,1.2,2,1
Sunrise Mart,Anushka,4.524,2.683,5.2,3,1
Bloor Street,Pauliene,4.524,2.639,6.5,3,3
The Grocery Outlet,Vedant,4.521,2.971,5.2,4,5
Sunrise Mart,Dipak,4.512,1.966,4.8,3,1
Bloor Street,Yamraj,4.511,3.336,2.6,3,2
Bromley Food Store,Janvi,4.503,1.804,2.3,5,2
Market Real,Anushka,4.491,3.865,6.9,2,5
The Grocery Outlet,Ananya,4.488,1.632,2.3,1,2
Pepper’s Grocery,Yamraj,4.488,1.807,5.5,4,3
The Grocery Outlet,Rakesh,4.485,3.45,5.3,2,2
Market Real,Dipak,4.458,1.963,1.6,2,3
Bromley Food Store,Anushka,4.456,1.966,6.2,3,3
Bloor Street,Anushka,4.439,1.168,6.7,4,1
Pepper’s Grocery,Yamraj,4.428,3.884,1.7,5,2
Pepper’s Grocery,Vedant,4.426,2.114,3.5,4,4
Superstore Save-On-Foods,Sambhavi,4.422,3.584,3.7,4,3
The Grocery Outlet,Pauliene,4.42,1.591,3.0,3,2
Market Real,Dipak,4.411,3.985,3.6,4,2
Bromley Food Store,Rahul,4.41,2.874,6.0,3,1
The Grocery Outlet,Dipak,4.409,1.094,6.8,1,3
Market Real,Ananya,4.407,3.984,4.0,5,2
Sunrise Mart,Janvi,4.397,1.389,2.9,5,5
Superstore Save-On-Foods,Rakesh,4.392,2.09,3.5,3,3
Pepper’s Grocery,Vedant,4.371,2.548,5.6,4,2
Bloor Street,Rakesh,4.355,3.974,4.7,3,2
Bromley Food Store,Yamraj,4.328,2.651,5.6,2,1
The Grocery Outlet,Janvi,4.327,1.692,6.4,3,1
Superstore Save-On-Foods,Pauliene,4.314,3.862,4.0,4,4
Superstore Save-On-Foods,Dipak,4.312,2.826,3.3,2,5
Bromley Food Store,Rakesh,4.312,1.792,6.4,1,1
Clover Grocery,Pauliene,4.304,1.027,1.6,3,5
Clover Grocery,Pauliene,4.285,2.715,7.0,3,1
Bloor Street,Yamraj,4.272,3.294,6.8,3,5
Bromley Food Store,Anushka,4.268,2.108,4.7,1,5
Pepper’s Grocery,Anushka,4.262,2.548,6.4,4,1
Pepper’s Grocery,Rakesh,4.252,2.991,2.4,3,3
Clover Grocery,Rakesh,4.248,1.387,5.4,1,3
Superstore Save-On-Foods,Vedant,4.24,2.23,2.3,1,5
Bromley Food Store,Ananya,4.23,1.627,6.6,4,1
Clover Grocery,Pauliene,4.227,3.95,6.6,5,5
Sunrise Mart,Anushka,4.227,3.976,6.3,3,5
Bromley Food Store,Janvi,4.225,2.934,4.3,1,5
Sunrise Mart,Dipak,4.214,2.479,2.6,2,1
Bromley Food Store,Pauliene,4.211,3.619,1.9,4,1
Market Real,Rakesh,4.202,1.969,4.6,2,5
Clover Grocery,Pauliene,4.199,2.615,2.8,4,2
